data,Particulas Inalaveis
2018-01-01,32.00375000000001
2018-01-02,23.383750000000003
2018-01-03,19.288008183481235
2018-01-04,10.301249999999998
2018-01-05,12.722916666666668
2018-01-06,16.486666666666665
2018-01-07,14.32125
2018-01-08,20.90083333333334
2018-01-09,19.950416666666662
2018-01-10,16.297083333333333
2018-01-11,18.0025
2018-01-12,23.730416666666667
2018-01-13,21.634583333333335
2018-01-14,18.609583333333333
2018-01-15,24.418333333333337
2018-01-16,26.26416666666667
2018-01-17,26.94333333333333
2018-01-18,25.254166666666666
2018-01-19,31.495000000000005
2018-01-20,29.393750000000008
2018-01-21,25.039999999999992
2018-01-22,31.85916666666667
2018-01-23,27.94875
2018-01-24,28.59125
2018-01-25,34.11509151681457
2018-01-26,35.709583333333335
2018-01-27,29.80875
2018-01-28,26.006666666666664
2018-01-29,40.35041666666666
2018-01-30,30.804583333333326
2018-01-31,14.693333333333335
2018-02-01,14.661666666666669
2018-02-02,11.142499999999998
2018-02-03,11.4775
2018-02-04,8.513333333333334
2018-02-05,6.225416666666668
2018-02-06,15.34375
2018-02-07,27.2625
2018-02-08,49.66749999999999
2018-02-09,21.267083333333336
2018-02-10,24.330416666666668
2018-02-11,22.299583333333334
2018-02-12,23.105833333333333
2018-02-13,25.488333333333333
2018-02-14,26.18583333333333
2018-02-15,28.389583333333338
2018-02-16,21.948750000000004
2018-02-17,16.307916666666667
2018-02-18,16.334999999999997
2018-02-19,25.741666666666664
2018-02-20,26.295000000000005
2018-02-21,20.196250000000003
2018-02-22,17.75541666666667
2018-02-23,24.952499999999997
2018-02-24,15.863333333333337
2018-02-25,9.580833333333333
2018-02-26,24.96666666666667
2018-02-27,22.207916666666666
2018-02-28,28.845833333333328
2018-03-01,28.944583333333338
2018-03-02,31.817916666666665
2018-03-03,31.724999999999998
2018-03-04,25.28333333333333
2018-03-05,27.00375
2018-03-06,50.39458333333334
2018-03-07,33.55416666666667
2018-03-08,23.567083333333333
2018-03-09,19.484583333333337
2018-03-10,19.005000000000003
2018-03-11,12.105833333333331
2018-03-12,35.19166666666666
2018-03-13,43.97541666666667
2018-03-14,27.255
2018-03-15,35.53333333333334
2018-03-16,30.9675
2018-03-17,27.947916666666675
2018-03-18,15.707916666666668
2018-03-19,24.082916666666666
2018-03-20,29.655
2018-03-21,46.14625
2018-03-22,37.60916666666666
2018-03-23,13.992083333333335
2018-03-24,15.35
2018-03-25,11.354166666666666
2018-03-26,20.78083333333333
2018-03-27,29.810416666666665
2018-03-28,23.59791666666666
2018-03-29,28.96875
2018-03-30,19.28625
2018-03-31,22.903333333333332
2018-04-01,24.29375
2018-04-02,40.21916666666666
2018-04-03,44.67124999999999
2018-04-04,32.32541666666666
2018-04-05,26.756666666666664
2018-04-06,24.217083333333335
2018-04-07,18.807083333333335
2018-04-08,18.8825
2018-04-09,17.781666666666663
2018-04-10,22.939583333333335
2018-04-11,47.80006101120971
2018-04-12,22.435416666666665
2018-04-13,29.390833333333337
2018-04-14,21.865416666666665
2018-04-15,23.227916666666662
2018-04-16,13.917916666666668
2018-04-17,19.31375
2018-04-18,19.492083333333333
2018-04-19,22.692083333333333
2018-04-20,33.081250000000004
2018-04-21,29.7225
2018-04-22,24.810000000000002
2018-04-23,25.575833333333335
2018-04-24,32.33291666666667
2018-04-25,24.21375
2018-04-26,25.285833333333333
2018-04-27,30.540416666666662
2018-04-28,23.62833333333333
2018-04-29,22.787499999999998
2018-04-30,27.499166666666667
2018-05-01,33.9475
2018-05-02,36.6025
2018-05-03,42.19041666666667
2018-05-04,40.46708333333333
2018-05-05,35.446666666666665
2018-05-06,33.82583333333333
2018-05-07,30.481249999999992
2018-05-08,24.948333333333334
2018-05-09,16.48208333333333
2018-05-10,17.909166666666668
2018-05-11,34.87916666666666
2018-05-12,39.10958333333334
2018-05-13,50.70375000000001
2018-05-14,36.52375
2018-05-15,27.190833333333334
2018-05-16,32.345416666666665
2018-05-17,30.718841516814567
2018-05-18,25.801666666666666
2018-05-19,22.052916666666672
2018-05-20,21.685833333333335
2018-05-21,45.868750000000006
2018-05-22,41.794999999999995
2018-05-23,34.84208333333333
2018-05-24,33.196666666666665
2018-05-25,29.054999999999996
2018-05-26,21.191666666666663
2018-05-27,12.781280505604855
2018-05-28,20.242083333333333
2018-05-29,23.573333333333334
2018-05-30,20.908749999999998
2018-05-31,22.046249999999997
2018-06-01,33.724583333333335
2018-06-02,49.312530505604855
2018-06-03,59.54625000000001
2018-06-04,33.30166666666667
2018-06-05,33.53958333333334
2018-06-06,45.71875
2018-06-07,69.53708333333334
2018-06-08,71.645
2018-06-09,47.326249999999995
2018-06-10,23.415000000000003
2018-06-11,27.786666666666665
2018-06-12,42.81003050560485
2018-06-13,47.54583333333334
2018-06-14,46.77708333333334
2018-06-15,32.815000000000005
2018-06-16,32.892916666666665
2018-06-17,25.32172767787638
2018-06-18,35.240833333333335
2018-06-19,22.220000000000002
2018-06-20,23.690030505604856
2018-06-21,37.73544717227153
2018-06-22,40.56791666666667
2018-06-23,31.357916666666668
2018-06-24,27.253749999999997
2018-06-25,34.81708333333333
2018-06-26,25.935833333333335
2018-06-27,34.09666666666666
2018-06-28,38.53375
2018-06-29,27.648749999999996
2018-06-30,25.002499999999998
2018-07-01,24.70839434454304
2018-07-02,34.89875
2018-07-03,51.82583333333332
2018-07-04,53.22875
2018-07-05,47.06166666666666
2018-07-06,46.37291666666666
2018-07-07,40.279583333333335
2018-07-08,52.30333333333332
2018-07-09,81.96833333333336
2018-07-10,87.81583333333333
